gen,nevals,avg,std,min,max
0,500,-6047.256004219094,1534.5385350392075,-10891.286443544775,-1041.9856570988313
1,500,-5485.982324967323,1665.1679707918868,-10350.808491147329,-1009.3629256068473
2,500,-4793.66106117855,1795.8966470642233,-10742.060349523583,-239.17974674001215
3,500,-4508.237011679123,1984.5216178283886,-10399.64845039426,672.8486050367362
4,500,-3723.944372267519,1993.071534527243,-9036.886782514066,-41.90595985583775
5,500,-3474.0096858430857,2077.7228442015044,-8869.731426025908,488.19894063690265
6,500,-3019.8399936551405,2125.328813145268,-9814.16178732267,383.2972465211454
7,500,-2496.1232274685385,1870.9336091989617,-9951.735938114016,394.121292396693
8,500,-2076.523939972818,1516.3877331327872,-8522.790317591183,487.7141965760228
9,500,-1854.7868357687144,1284.9108991766147,-8286.320619738417,345.4118910260991
10,500,-1863.7984181958673,1314.8168493489973,-7804.173704730936,703.1287483615704
11,500,-1745.3108710888382,1171.5153505857425,-9423.262826400936,596.9171384639944
12,500,-1795.7600290565142,1179.348140143358,-8077.156778642879,479.1735646424926
13,500,-1691.100053818616,1106.107824649435,-8354.743079308597,416.612159379188
14,500,-1843.6972332913815,1286.4125838999564,-7798.98668647202,552.4165181484848
15,500,-1817.7342199784632,1305.2000260178309,-8754.9984460152,739.7416430225146
16,500,-1739.4229990037804,1161.357497107151,-7552.135121756597,901.2450230845127
17,500,-1898.9070620473126,1292.6544001382474,-7619.756376737909,704.6416044143369
18,500,-1776.92457988276,1215.633050400073,-8356.759999578358,507.73884291785896
19,500,-1775.2400488013402,1261.089109964528,-7853.941571467227,517.3656233357979
20,500,-1705.5291866328325,1160.821058674456,-7576.347155939501,353.45589782126933
21,500,-1775.8692307422548,1170.1244729197963,-9609.31618385176,307.03521281031885
22,500,-1760.5704398007902,1194.6020531205038,-7766.540790806102,497.29161443644733
23,500,-1878.1418067924287,1317.31291068152,-9220.154264139112,552.0654257035267
24,500,-1848.9069398152571,1229.3689346393974,-7371.155551792287,320.97491937709606
25,500,-1768.8397133239441,1261.2064640449323,-8275.922896322474,747.8754205434142
26,500,-1775.9050283377542,1246.867833988893,-8693.493985187593,768.7347684557651
27,500,-1646.475610159516,1142.2250524772749,-7535.212135667482,437.09056094348455
28,500,-1747.4302844853548,1089.8261705250668,-7238.128260197464,449.5931467068723
29,500,-1747.3024398154369,1166.4701240274508,-7893.51757170714,1095.302043372616
30,500,-1758.5698404832247,1149.114051152867,-9938.642910678484,473.7505709724325
31,500,-1803.5825620372837,1181.066147631457,-8043.27062565196,936.5212749585933
32,500,-1762.8255476035397,1153.181748295984,-8281.32151091444,274.45630824183115
33,500,-1729.6154930019015,1139.1618856209695,-7784.7360924443565,321.415944494807
34,500,-1717.488467718324,1131.0498586097597,-6925.264870637849,517.0985500690351
35,500,-1739.085115849136,1156.3643421274853,-8413.43169076945,391.5668242545203
36,500,-1736.7970662314021,1112.6630805159268,-7237.440223395044,612.5298432304043
37,500,-1745.3529890340685,1112.0041521327682,-9869.185937047605,366.27364514815037
38,500,-1802.349587622976,1176.0771069448613,-8707.302527263219,577.8374089682627
39,500,-1825.9986301397216,1216.6948846112684,-8575.794590112011,583.3920955679401
40,500,-1827.0620106256001,1258.031062469373,-8541.365367363545,745.6192210618894
41,500,-1784.3157263904513,1161.4421662209945,-7305.960845041637,947.3429838322294
42,500,-1789.0491215097777,1243.1189684869564,-10045.566766011001,557.5569162560686
43,500,-1794.1857275573327,1285.257174245628,-10059.512506587958,585.5508179467299
44,500,-1803.1949287541154,1286.127892434968,-9616.962618718375,580.5623944604363
45,500,-1845.8973669547945,1267.4295757666769,-7576.213784366226,795.8303480536855
46,500,-1774.0695210041442,1188.550833066607,-7884.435857969482,596.0841491814074
47,500,-1703.312689752238,1194.6331713333004,-8508.350726713914,634.8140703641583
48,500,-1808.1829943204557,1202.5465731175543,-6734.965483673694,407.8980428165169
49,500,-1863.3962174483045,1254.9905999682142,-8347.352445614451,753.4531284262188
50,500,-1756.4574542767168,1163.1022415871498,-7307.597618753641,498.7118581811631
51,500,-1745.7025207747263,1125.5908830320304,-7980.767472738857,655.0525201889077
52,500,-1795.4015935290959,1219.532741146484,-8493.98632256916,1012.8662326576323
53,500,-1787.0100752856215,1272.8481924155137,-8027.551985449473,654.9794786242542
54,500,-1703.725001609391,1102.861379527623,-7540.1776554084545,780.5612602727007
55,500,-1768.4537702165637,1149.732641839793,-8045.542867975334,641.1547644493241
56,500,-1729.0198525112303,1039.258746118433,-5971.207386330793,499.61391602430115
57,500,-1851.4415073838336,1234.7415890242946,-7765.008625634347,685.3749300290939
58,500,-1783.0242611064261,1207.7754696180798,-8137.702485644625,745.6825192157714
59,500,-1726.1857507978245,1201.1562468459988,-7820.759572562825,336.4747382429533
60,500,-1739.7491958978117,1154.686770390719,-8394.749874726633,335.37888413469227
61,500,-1767.77167846571,1156.927822556438,-7446.606547996933,633.1459298078556
62,500,-1727.5380673298812,1204.3983975531678,-8215.387300953464,597.6961845825473
63,500,-1822.6976489455028,1287.3672256805864,-9097.456834368952,338.7655368671533
64,500,-1720.774112324995,1203.3889041873251,-10041.756049556589,606.2461416280164
65,500,-1687.5644946751622,1072.3729088494358,-7144.850556424046,453.73144891960794
66,500,-1797.7397713320431,1303.5448096618666,-8554.216612447957,459.04651838764767
67,500,-1800.1751641725264,1204.918009157798,-8090.857868811979,532.5533236040795
68,500,-1724.571551027294,1111.9144647219941,-7781.297738628154,590.6267619330125
69,500,-1730.7850405858842,1015.0352869980013,-6711.5561413656005,518.32359505159
70,500,-1689.762426513645,1190.1106059274402,-10480.988093330125,597.6391705079543
71,500,-1683.5849546681154,1097.942064410054,-7911.622745164624,484.4777959530972
72,500,-1789.7057771534621,1245.5432635790376,-8264.891838801492,441.125276908257
73,500,-1824.0890428077585,1271.7679286724122,-8234.817708008544,335.66575052480823
74,500,-1801.9428700601989,1108.4370364787958,-7820.995662837781,734.5980507432669
75,500,-1753.365116360338,1215.3387351742488,-7770.601169741007,497.08091574691616
76,500,-1782.94831858581,1125.0934045372856,-7088.044725130329,774.0302209816306
77,500,-1711.674804547232,1094.0016444755743,-7961.065835765762,833.8501930048053
78,500,-1802.9278732597045,1123.398967202804,-8313.854388950524,525.9151956017113
79,500,-1694.499926276066,1075.5082538933425,-6559.693720714819,699.8425751281036
80,500,-1701.5157118907873,1147.8532706470319,-8222.918393163836,222.4573154208757
81,500,-1668.2142037059723,1036.1431496548917,-9026.926343249941,637.6897498728912
82,500,-1688.912521445741,1209.0998746643893,-8607.903777612664,542.4070063310897
83,500,-1735.7427141805547,1119.7536158531695,-7307.1240564909185,107.42239221661342
84,500,-1642.546926641847,1102.744327452699,-8290.545650596574,373.3646304547798
85,500,-1844.6608279340733,1245.607192703971,-8375.130453951922,300.32590846701436
86,500,-1698.0854587663212,1173.2195935589018,-8294.401392506688,401.51400369313717
