gen,nevals,avg,std,min,max
0,500,-13945.607811973494,1641.2240692624373,-16858.65883769731,-7976.768121269153
1,500,-13062.251541935699,2017.7957196635557,-17360.35647387574,-7138.957622149869
2,500,-12180.347539278686,2333.178911598764,-16561.42351418948,-6313.045841965306
3,500,-11135.446229873456,2378.6808733402804,-16624.038476602924,-5788.671332504888
4,500,-10299.283544591824,2477.166207642224,-16321.951601461482,-5772.410031704298
5,500,-10237.063509121854,2557.8632709799663,-16737.32687888288,-6331.7618045960135
6,500,-9712.035532574739,2496.9108543785096,-16699.17193703967,-5864.132271331778
7,500,-9122.042910461814,2210.133388247159,-16775.705386208996,-5932.878024916909
8,500,-8976.754401504862,2230.9312970082274,-16523.364065678346,-6108.452322032191
9,500,-8777.880486226748,1981.752899755996,-16313.315284554255,-5782.582213543607
10,500,-8703.596007907643,1942.3060807731697,-16658.188498250303,-6209.300789320192
11,500,-8487.446752325392,1871.051261011147,-16228.663319400619,-5734.716588962922
12,500,-8515.47699093246,1861.7931219141487,-16017.016885629628,-5577.160890701966
13,500,-8301.466931006758,1573.7085634770276,-16017.953061222637,-5239.694802993881
14,500,-8332.081017921497,1580.8699962870055,-16117.067329450521,-5927.85329629072
15,500,-8407.532356299564,1655.8247848774758,-16773.828295579504,-5591.858622051016
16,500,-8487.964475877885,1818.473624073982,-17167.833831611584,-5526.834249203309
17,500,-8310.63432054237,1513.1078022818106,-15356.721273914343,-5593.717005724344
18,500,-8327.094710321859,1654.152192634811,-15875.393316316175,-5732.5408458473885
19,500,-8362.910843952272,1574.2976155383042,-15882.019314889072,-5652.433182186859
20,500,-8449.296451736107,1676.1663359036597,-15899.965345326127,-6029.746214673976
21,500,-8298.330286876788,1611.254570604429,-16197.519042653343,-6082.093485695254
22,500,-8183.131312502271,1407.139904738244,-15797.409194764932,-6113.992228251938
23,500,-8301.23304957553,1595.0953978234058,-15480.395829416704,-5530.105537603839
24,500,-8310.728753684922,1522.6421391480867,-16339.224904092023,-6018.426519558659
25,500,-8162.915370452648,1402.5281183310578,-15781.001916668207,-5531.217361846453
26,500,-8309.580303681214,1499.4380001381646,-15190.724387943836,-6171.559019940624
27,500,-8258.429057036383,1524.4630353178607,-15985.51237400299,-5570.874399712224
28,500,-8315.540301822244,1585.5357533268714,-15661.03164995325,-5988.9896124689485
29,500,-8263.879946740408,1496.9540057138215,-15813.916208603952,-5874.586075045978
30,500,-8214.231127103596,1455.4927286895509,-15527.824013963802,-5863.200934184813
31,500,-8197.909989756039,1534.725523876632,-16573.65523111613,-5819.10469510894
32,500,-8077.2413917895465,1275.4251113714226,-15435.007638733867,-5714.583688554325
33,500,-8097.150443333348,1225.760072105217,-15404.759401913445,-6050.917343716952
34,500,-8188.724617546028,1504.6608809389297,-15665.872924650714,-5822.987493714988
35,500,-8170.092998702685,1430.871540112703,-15510.835421562864,-5463.748456439334
36,500,-8021.912444559986,1304.1279294995727,-15174.355522901638,-5424.245979331597
37,500,-8072.037511099027,1346.9597536377148,-14916.049991719114,-5716.050093885234
38,500,-8104.344893712391,1433.254585122843,-16528.62647057239,-5565.294874940105
39,500,-8156.511292847981,1478.3610109076947,-15884.222345647966,-5647.790657226949
40,500,-8074.658614117978,1389.4443928118226,-16204.800811659956,-5795.348763796386
41,500,-8035.459567851977,1411.218562561503,-15898.469070359268,-5654.318897071922
42,500,-8047.278580240734,1340.7251115685178,-15924.815066834615,-5782.081119208134
43,500,-8004.212040120324,1133.2278623435686,-15311.06393314408,-6093.8736919645835
44,500,-8051.259151059152,1345.3305353494152,-15800.932192065526,-5716.205437799414
45,500,-8040.423583480591,1154.8258492401849,-15361.37675345451,-5797.901328192791
46,500,-8016.98472997905,1128.0633294565348,-15321.449640764104,-5611.060587626631
47,500,-8082.255247531371,1249.933613144999,-15898.146146244497,-5793.109148646572
48,500,-7994.955927321906,1202.5069397452128,-16356.57102665928,-5031.232393774999
49,500,-8051.566444742352,1459.3280255119728,-16357.62635207999,-5478.616764423221
50,500,-8113.326051005236,1276.3938188153963,-15351.949633226835,-5742.6343022352985
51,500,-8008.59700486525,1352.2247069645573,-15777.371092274969,-5026.549637997807
52,500,-8068.152794971412,1328.675485550994,-15989.882418114712,-5673.189052586252
53,500,-8058.877032528168,1364.7804340327586,-16920.149137652093,-5732.085363946784
54,500,-8034.8971629925445,1303.5641510979935,-16094.99777440658,-5804.294441633324
55,500,-8096.074930076713,1234.4020334792394,-16237.859823314979,-5375.45219929316
56,500,-8087.094989532739,1456.989999397097,-15453.338633370193,-5198.915948405971
57,500,-8037.641240852652,1327.9555683867152,-16104.23332868412,-6118.007022464693
58,500,-8081.661803125649,1454.425342044324,-15089.80634991909,-5782.903832398913
59,500,-7970.546663568871,1118.606420294164,-15047.229754347823,-5735.4868041919235
60,500,-8041.484123586943,1289.742758169694,-16278.630243159514,-5222.710403447879
61,500,-8144.910061386983,1376.7718885522986,-15410.179060718821,-6129.492359638474
62,500,-8002.784032152418,1064.5548943711342,-15035.713467570691,-5902.938126946317
63,500,-8023.789123399336,1310.2900505242667,-16155.881004338273,-5878.626734833563
64,500,-8017.754384708902,1260.4567423156757,-15519.006390998315,-6049.630238631154
