gen,nevals,avg,std,min,max
0,500,-5009.152718606898,1183.1683472991854,-7348.156889256708,-1274.6452937092238
1,500,-4388.454663152512,1540.8073207410182,-7325.02073093665,-855.5401052799098
2,500,-3709.326445866305,1762.9994256881794,-7212.33847568957,-836.6024208055321
3,500,-3064.401621732002,1823.221052598302,-7350.17891438658,-481.88258231367854
4,500,-2600.9386469060723,1705.885492115012,-7137.142923491231,-747.1515246630324
5,500,-2334.9686495877363,1588.6747087443362,-7329.397673838833,-502.37832127799993
6,500,-2162.9547550788307,1473.2704466669502,-7044.244453886955,-502.3437501528263
7,500,-2084.2943777799655,1432.263588566328,-7174.695172592418,-641.0170408209999
8,500,-2026.2206498080968,1445.1904798170667,-7029.425156256615,-423.96239218299996
9,500,-1833.9518595508189,1218.5588368025858,-6426.883691767241,-578.541277796
10,500,-1838.1251547985025,1289.7317478772231,-7548.207250763687,-644.2455690445721
11,500,-1686.6507677744144,1041.3386524163923,-6260.673223172861,-565.2965316064507
12,500,-1825.9169818490627,1263.1105501554598,-6665.366317330576,-529.6276601469999
13,500,-1692.673553040916,1104.5080126573664,-6711.426221988071,-511.0563361821034
14,500,-1584.1314730568565,964.1648228949097,-6419.696731650356,-409.8984752663826
15,500,-1542.471138196241,936.9508385486877,-7301.097434149461,-465.6860253993826
16,500,-1521.899592560613,893.3472981797188,-6852.663968349089,-504.3813735547957
17,500,-1565.2021193507512,993.5984280053686,-7133.967830644523,-577.7909350640788
18,500,-1542.0829125472242,921.3756454137949,-5896.439284736758,-420.861717075
19,500,-1524.2191362060182,990.1854746575374,-6532.008158814933,-442.46578618799987
20,500,-1371.6176591646495,684.0703640628856,-5697.313848956752,-596.1081726786639
21,500,-1434.3898194987878,812.4270973022743,-5997.408460906746,-483.50615664299994
22,500,-1464.2163164378564,848.583950997222,-5564.450677235001,-550.7769295298384
23,500,-1353.339780431648,617.5450140790397,-5566.936285107253,-526.423654107
24,500,-1376.0132684812552,672.6092261632327,-5606.106059131845,-583.3688480025763
25,500,-1351.7834225173458,710.3204195335924,-5587.030563548596,-538.9889874020344
26,500,-1362.5556458145672,695.4756199286409,-7159.31442096934,-511.0096935979999
27,500,-1337.8909085101163,620.7654562441874,-6475.400161931119,-450.17372068456626
28,500,-1379.6413244265875,739.6866301010285,-5822.198474378482,-597.1919341277501
29,500,-1410.0937507931112,774.8473461318225,-5960.070762930542,-506.3382763551109
30,500,-1340.8932805379634,633.387831995332,-5579.442955385199,-589.756529525
31,500,-1325.2807806450362,652.0762732580959,-5556.2996571254525,-523.432813098
32,500,-1302.352641513296,575.0073936264323,-5589.818780849859,-530.0441061730122
33,500,-1329.2895413176384,616.8640156903269,-6856.57711411473,-559.931369437
34,500,-1318.2440769679574,590.809341749251,-5586.249659881671,-373.9513858349999
35,500,-1354.2931483882235,618.9067649191672,-5685.6350989929215,-516.063575911
36,500,-1365.6853338144701,686.5940606076736,-7170.198033147624,-537.040803142
37,500,-1286.4342711150437,480.8756750503902,-5477.566718123503,-614.6901292597229
38,500,-1351.2881886167593,709.2661296798568,-6586.8820243151085,-519.658428313
39,500,-1340.2633261309486,638.0243264653527,-7135.592867523005,-617.1561494237742
40,500,-1364.3381930415408,690.7976597567832,-5653.770836690795,-583.9188952355642
41,500,-1304.3753740884256,578.9871877184983,-5982.37990299428,-530.5806828973857
42,500,-1303.2985179233488,481.53110808855337,-5368.2201175,-361.71547742799993
43,500,-1305.9357412736153,568.0898212636662,-6551.180548224776,-511.6608778703826
44,500,-1342.224749198163,601.4605730491953,-5435.618199862771,-438.1124610150394
45,500,-1262.715912576126,466.82810016692906,-5372.00175003766,-519.9776983285586
46,500,-1354.952065638646,663.9297357184663,-5596.263454831,-557.8516163245434
47,500,-1341.0368665992323,586.0713439898465,-6351.92135521885,-589.2197819169999
48,500,-1334.1868079992921,698.3735741509938,-6609.1116835617895,-479.5855094270122
49,500,-1272.4407558792611,535.3741305466922,-5498.50050836178,-461.88561733899996
50,500,-1297.4657924508049,590.7234760850567,-5735.592542538884,-401.3018937729999
51,500,-1337.7348276935568,625.922295823937,-6589.466747434434,-457.1129164589999
52,500,-1353.6495426062038,680.3449797340584,-5525.3877811175225,-518.3841939714506
53,500,-1311.1430661297925,545.9261512684125,-5611.310243388575,-625.1516488189998
54,500,-1324.2084923851296,622.3872567351069,-6434.154590411193,-579.8299678315618
55,500,-1280.8703562141527,468.59583814734964,-5290.616784882742,-570.3061057378079
56,500,-1343.0761867441054,582.1007550641463,-5546.872948997603,-512.062931095
57,500,-1332.599563348792,611.3547136320773,-5319.938256858148,-502.85329936399995
58,500,-1374.4064003915312,689.5267592116267,-6445.869120943147,-468.8307160214507
59,500,-1319.1416054626193,554.4816688269617,-5677.595117749445,-495.66853898255874
60,500,-1308.099482817436,498.9579969705849,-7021.033285315752,-466.44777130800003
61,500,-1283.754004446958,481.48564202066655,-5361.731455499765,-499.80733837999986
62,500,-1305.0368187975375,571.635233265314,-5476.59937050612,-518.4880332793374
63,500,-1288.2854448270332,495.39761250199996,-5922.739399522354,-547.537625808314
64,500,-1356.581705305073,699.4609664147163,-6254.093082109392,-366.23908803100005
65,500,-1355.7728867400308,655.8115252253914,-5904.633036822456,-539.7557252910235
66,500,-1284.9804079576165,476.56298315474015,-5211.736710887485,-453.63005749599995
67,500,-1329.037024217715,625.1352412598497,-6580.518166631405,-571.0296495359999
68,500,-1347.786205437516,657.5336419566672,-5699.212821808199,-429.984017995
69,500,-1328.264570361712,628.6356260253038,-5300.625947510043,-571.5643316107956
70,500,-1355.6650943622883,655.2225863164715,-5633.816810167,-560.6347474093718
71,500,-1338.10274415767,590.3813786502693,-5205.2967838889435,-624.665996813
72,500,-1314.8888550084475,571.33885314968,-5273.732567604055,-547.4847357097956
73,500,-1329.5538906762188,590.7970658035276,-5247.912570397466,-559.4565389549999
74,500,-1337.5241697041254,631.3631323427969,-5866.208293794882,-470.7961983060271
75,500,-1331.9360497316502,581.9421336058086,-5445.533084218407,-462.87286761300004
76,500,-1330.2374934331456,611.0470135493485,-6229.6087566752085,-531.0731423111329
77,500,-1345.0747419710844,633.2660000691667,-5650.736516889,-469.59393274557635
78,500,-1335.5517296714954,668.477819478965,-5800.63783403887,-620.3856865873374
79,500,-1325.277121465779,652.1465714316092,-5412.097254459434,-546.0905216154508
80,500,-1351.8341892152428,607.7756640239556,-5465.399119110372,-496.36873954999993
81,500,-1287.5465299329137,583.6280777965551,-5249.695370342344,-534.5823900919999
82,500,-1261.8997073079036,423.3234420241318,-5104.223223126,-501.10199215499995
83,500,-1310.2898023604146,549.1675584752485,-5625.479445149,-475.99692279408407
84,500,-1376.4466994093837,718.3054591763512,-5994.903736069696,-588.4562792509998
85,500,-1347.7397035420215,652.5252324748338,-6416.9664030839085,-419.47563138099997
86,500,-1342.6740781910473,648.0952075469711,-6351.821587880576,-553.803644589
87,500,-1397.0854424144425,815.0048317323744,-6839.287460599016,-451.6755269459999
88,500,-1377.9387154784529,731.5200775644574,-5334.8647714686,-541.2800238600456
89,500,-1336.2433885127246,639.0235273958658,-6576.16518794414,-555.438136433
90,500,-1391.836108445851,796.7765298017886,-6884.378243732472,-546.821755944
91,500,-1358.3003043968913,671.6353630167978,-6612.210231310494,-511.7634324223271
92,500,-1319.9592815789977,627.7368652585081,-6684.541410027564,-586.1718119379998
93,500,-1332.5013127031577,591.9559633613469,-5820.617527403829,-572.1824566567791
94,500,-1321.659336060702,609.1143535950799,-5393.923807528356,-471.24345911145076
95,500,-1288.2961678880263,544.6992426496911,-5253.722355422,-514.9849634696795
96,500,-1342.7312556959982,657.1090677837137,-6455.180475379999,-450.1053716989999
97,500,-1367.8380143268284,698.5196945952827,-5268.776061018756,-476.4397296949999
98,500,-1315.3859382055612,611.8115484796841,-6655.538725280154,-379.942706059
