Instances 0: (2020, 7, 28)
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -0.9549306035041809 -1.0 -0.999980628490448
-1.0 -1.0 -0.4488256275653839 -1.0 -0.998077929019928
-1.0 -1.0 -0.9953246116638184 -1.0 -0.9294551610946655
-1.0 -1.0 -0.9946466684341431 -1.0 0.31561166048049927
-1.0 -1.0 0.9539178013801575 -0.997320294380188 0.9999840259552002
-1.0 -1.0 0.9862943887710571 -0.7319121360778809 0.9999977350234985
-1.0 -1.0 -0.06953169405460358 0.9977676868438721 0.9999857544898987
-1.0 -1.0 -0.26329830288887024 0.10831478238105774 0.9999730587005615
-1.0 -1.0 0.024210987612605095 -0.8419072031974792 0.9999848008155823
-1.0 -1.0 0.9738218188285828 0.9682589173316956 0.99996417760849
-1.0 -1.0 0.999912679195404 -0.9996271729469299 0.9999924898147583
-1.0 -1.0 0.999973475933075 -0.9592621326446533 0.9999986886978149
-1.0 -1.0 0.9999998807907104 -0.9823206663131714 0.9997768402099609
-1.0 -1.0 0.9999985694885254 -0.9997318387031555 0.9999995827674866
-1.0 -1.0 0.9999991655349731 -0.9999997615814209 1.0
-1.0 -1.0 0.9999909400939941 -0.9996392726898193 1.0
-1.0 -1.0 0.9865491986274719 -1.0 1.0
-1.0 -1.0 -0.9968220591545105 -1.0 1.0
-1.0 -1.0 -0.9999995827674866 -1.0 1.0
-1.0 -1.0 -0.999762237071991 -1.0 1.0
-1.0 -1.0 -0.9965733885765076 -1.0 1.0
-1.0 -1.0 -0.28955546021461487 -1.0 1.0
-1.0 -1.0 -0.9908299446105957 -1.0 1.0
-1.0 -1.0 0.9946229457855225 -1.0 1.0
-1.0 -1.0 -1.0 -1.0 0.9987287521362305
-1.0 -1.0 -1.0 -1.0 -0.9571173787117004
-1.0 -1.0 -1.0 -1.0 -0.9953058362007141
-1.0 -1.0 -1.0 -1.0 -0.9999996423721313
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -0.9999939203262329 -1.0 -1.0
-1.0 -1.0 -0.9999998807907104 -1.0 -1.0
-1.0 -1.0 -0.940272867679596 -1.0 -1.0
-1.0 -1.0 -0.7028025388717651 -1.0 -1.0
-1.0 -1.0 -0.9926491379737854 -1.0 -1.0
-1.0 -1.0 -0.9999998211860657 -1.0 -1.0
-1.0 -1.0 0.9999995827674866 -1.0 -1.0
-1.0 -1.0 -1.0 -0.7450047135353088 -1.0
