Instances 0: (2020, 7, 28)
-0.9999999403953552 -1.0 -1.0 -0.9999060034751892 -0.9999338984489441
0.6378179788589478 -1.0 -1.0 -0.8421780467033386 -0.5286535620689392
0.9622027277946472 -1.0 -1.0 0.9463021755218506 -0.4400085210800171
0.9895578622817993 -1.0 -1.0 0.9951368570327759 -0.9395135045051575
0.992953360080719 -1.0 -1.0 0.999942421913147 -0.9260900616645813
0.99998939037323 -1.0 -1.0 0.9999995827674866 0.6552040576934814
0.9999973773956299 -1.0 -1.0 0.9999996423721313 0.3463120460510254
0.9988548159599304 -1.0 -1.0 1.0 0.871852695941925
0.9998273849487305 -1.0 -1.0 1.0 0.8756321668624878
0.9999984502792358 -1.0 -1.0 1.0 0.483551561832428
0.9999998807907104 -1.0 -1.0 1.0 0.5816162824630737
1.0 -1.0 -1.0 1.0 -0.9801697731018066
1.0 -1.0 -1.0 1.0 -0.8428139090538025
1.0 -1.0 -1.0 1.0 0.7071096301078796
1.0 -1.0 -1.0 1.0 -0.7491260766983032
1.0 -1.0 -1.0 1.0 0.12120503932237625
1.0 -1.0 -1.0 1.0 -0.5051892995834351
1.0 -0.9987833499908447 -1.0 1.0 -0.9999992847442627
0.9999989867210388 0.8790493011474609 -1.0 1.0 -1.0
-0.9999209046363831 -0.9992985725402832 -1.0 -0.9982364773750305 -0.9999992847442627
-0.9809125661849976 -0.9998282790184021 -1.0 -1.0 -0.9952249526977539
-0.9912631511688232 -0.9999991655349731 -1.0 -1.0 -0.9999676942825317
-0.9742176532745361 -1.0 -1.0 -1.0 -0.9999850392341614
-0.20091043412685394 -1.0 -1.0 -1.0 -0.9999998807907104
-0.999997615814209 0.9998846054077148 -1.0 -1.0 -0.8249037265777588
-1.0 -1.0 -1.0 -1.0 -0.9999997615814209
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -0.9999902248382568
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -0.9999999403953552
-1.0 -1.0 -1.0 -1.0 -0.9967150092124939
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 0.6443414092063904
-1.0 -1.0 -1.0 -1.0 -0.9982076287269592
-1.0 -1.0 -1.0 -1.0 0.6943880319595337
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -1.0
-1.0 -1.0 -1.0 -1.0 -0.988217294216156
-1.0 -0.9735240936279297 -1.0 -1.0 -0.10854103416204453
-1.0 -1.0 -1.0 -1.0 0.9177402257919312
-1.0 -1.0 -1.0 -1.0 0.9997780919075012
-1.0 -0.9999999403953552 -1.0 -1.0 0.8186600804328918
-1.0 -1.0 -1.0 -1.0 0.9999995827674866
-1.0 -1.0 -1.0 -1.0 0.9999975562095642
-1.0 -0.9999706745147705 -1.0 -1.0 0.9999995827674866
-1.0 -0.9947552680969238 -1.0 -1.0 1.0
-1.0 0.9995695948600769 -1.0 -1.0 1.0
-1.0 -0.9993070960044861 -1.0 -0.999075174331665 0.999977707862854
-1.0 -0.12417268753051758 -1.0 -0.9199405312538147 0.9999960064888
-1.0 -1.0 -0.9916009902954102 -0.8974629044532776 0.9999948740005493
