date,hour,GC,GG,Heat
01-Jan-14,0,274.75,0.0,852.93
01-Jan-14,1,371.04,0.0,1063.85
01-Jan-14,2,345.1,0.0,968.34
01-Jan-14,3,272.09,0.0,705.58
01-Jan-14,4,234.13,0.0,708.43
01-Jan-14,5,221.47,0.0,717.08
01-Jan-14,6,211.42,0.131,673.23
01-Jan-14,7,207.4,113.73,553.71
01-Jan-14,8,245.66,442.096,680.0
01-Jan-14,9,339.33,842.149,1329.05
01-Jan-14,10,383.4,949.639,1317.17
01-Jan-14,11,386.73,941.408,1103.63
01-Jan-14,12,397.16,814.591,1303.54
01-Jan-14,13,418.08,567.196,1390.23
01-Jan-14,14,409.01,245.329,1399.01
01-Jan-14,15,355.1,33.056,1341.31
01-Jan-14,16,345.1,3.233,1339.21
01-Jan-14,17,346.37,0.0,1333.42
01-Jan-14,18,312.05,0.0,1321.03
01-Jan-14,19,333.18,0.0,1408.76
01-Jan-14,20,347.96,0.0,1382.03
01-Jan-14,21,336.68,0.0,1443.99
01-Jan-14,22,365.15,0.0,1527.08
01-Jan-14,23,378.45,0.0,1458.84
02-Jan-14,0,381.18,0.0,1396.61
02-Jan-14,1,382.91,0.0,1298.68
02-Jan-14,2,364.49,0.0,1208.57
02-Jan-14,3,293.47,0.0,932.26
02-Jan-14,4,254.16,0.0,901.9
02-Jan-14,5,244.56,0.0,1072.92
02-Jan-14,6,234.62,0.127,1001.97
02-Jan-14,7,240.13,141.62,1107.97
02-Jan-14,8,261.14,381.703,851.04
02-Jan-14,9,336.66,663.671,1344.58
02-Jan-14,10,385.88,738.518,1485.24
02-Jan-14,11,403.32,752.552,1404.64
02-Jan-14,12,403.08,687.643,1403.25
02-Jan-14,13,407.93,513.378,1222.51
02-Jan-14,14,395.66,210.817,1127.73
02-Jan-14,15,335.74,34.61,1065.71
02-Jan-14,16,340.34,2.227,1223.86
02-Jan-14,17,343.11,0.0,1313.2
02-Jan-14,18,314.44,0.0,1373.07
02-Jan-14,19,339.01,0.0,1547.7
02-Jan-14,20,362.42,0.0,1645.37
02-Jan-14,21,338.48,0.0,1455.14
02-Jan-14,22,363.82,0.0,1546.0
02-Jan-14,23,409.15,0.0,1815.24
03-Jan-14,0,426.27,0.0,1858.88
03-Jan-14,1,443.94,0.0,1894.2
03-Jan-14,2,420.57,0.0,1700.95
03-Jan-14,3,319.55,0.0,1332.46
