date,hour,GC,GG,Heat
01-Jan-17,0,731.033,0.0,922.47
01-Jan-17,1,696.625,0.0,921.61
01-Jan-17,2,668.316,0.0,949.09
01-Jan-17,3,657.746,0.0,946.51
01-Jan-17,4,663.559,0.0,898.42
01-Jan-17,5,672.777,0.0,889.83
01-Jan-17,6,657.829,0.0,943.08
01-Jan-17,7,664.054,0.265,931.05
01-Jan-17,8,669.705,138.86,1042.71
01-Jan-17,9,680.016,493.338,1071.91
01-Jan-17,10,709.948,889.037,1052.16
01-Jan-17,11,762.748,1109.758,1022.96
01-Jan-17,12,784.783,1260.097,916.45
01-Jan-17,13,784.868,1359.988,952.53
01-Jan-17,14,796.15,1415.867,989.46
01-Jan-17,15,813.653,1286.792,983.45
01-Jan-17,16,854.314,893.825,985.17
01-Jan-17,17,854.673,508.02,934.49
01-Jan-17,18,844.072,143.34,1047.87
01-Jan-17,19,822.522,2.682,994.61
01-Jan-17,20,802.907,0.0,958.54
01-Jan-17,21,828.51,0.0,908.72
01-Jan-17,22,827.023,0.0,969.71
01-Jan-17,23,770.426,0.0,943.08
02-Jan-17,0,726.103,0.0,959.4
02-Jan-17,1,692.242,0.0,810.81
02-Jan-17,2,679.352,0.0,932.77
02-Jan-17,3,695.738,0.0,987.74
02-Jan-17,4,730.826,0.0,1031.55
02-Jan-17,5,802.44,0.0,991.18
02-Jan-17,6,864.918,0.0,1072.77
02-Jan-17,7,926.671,0.042,1117.44
02-Jan-17,8,958.529,31.978,1118.3
02-Jan-17,9,961.812,114.332,1020.38
02-Jan-17,10,983.394,135.28,869.21
02-Jan-17,11,998.537,226.638,865.78
02-Jan-17,12,993.264,348.398,790.19
02-Jan-17,13,992.692,439.868,779.03
02-Jan-17,14,995.727,721.205,777.31
02-Jan-17,15,998.258,713.458,775.59
02-Jan-17,16,1031.214,619.832,799.64
02-Jan-17,17,1026.975,401.865,906.15
02-Jan-17,18,985.234,105.04,805.65
02-Jan-17,19,939.434,1.522,816.82
02-Jan-17,20,901.886,0.0,933.63
02-Jan-17,21,910.914,0.0,936.21
02-Jan-17,22,890.164,0.0,830.56
02-Jan-17,23,835.268,0.0,840.87
03-Jan-17,0,779.628,0.0,881.24
03-Jan-17,1,747.426,0.0,895.84
03-Jan-17,2,729.507,0.0,1053.02
03-Jan-17,3,748.34,0.0,1066.76
03-Jan-17,4,776.188,0.0,1023.82
03-Jan-17,5,847.572,0.0,955.96
03-Jan-17,6,914.864,0.0,932.77
03-Jan-17,7,972.161,0.09,996.33
03-Jan-17,8,988.125,142.055,838.29
03-Jan-17,9,987.454,603.98,827.99
03-Jan-17,10,1007.716,1128.938,935.35
03-Jan-17,11,1001.567,1429.34,901.85
03-Jan-17,12,1004.76,1506.69,901.85
03-Jan-17,13,999.69,1619.32,876.94
03-Jan-17,14,996.344,1631.302,890.69
03-Jan-17,15,1007.858,1393.425,854.61
03-Jan-17,16,1056.488,1005.928,880.38
03-Jan-17,17,1058.022,491.1,885.53
03-Jan-17,18,1015.335,113.885,899.27
03-Jan-17,19,963.542,1.322,943.08
03-Jan-17,20,919.07,0.0,964.55
03-Jan-17,21,934.385,0.0,1034.12
03-Jan-17,22,923.497,0.0,947.37
03-Jan-17,23,872.306,0.0,937.93
04-Jan-17,0,824.931,0.0,973.14
04-Jan-17,1,795.714,0.0,860.62
04-Jan-17,2,787.864,0.0,967.99
04-Jan-17,3,795.688,0.0,920.75
04-Jan-17,4,823.75,0.0,945.66
04-Jan-17,5,914.06,0.0,1008.36
04-Jan-17,6,984.951,0.0,994.61
04-Jan-17,7,1057.878,0.0,895.84
04-Jan-17,8,1094.318,84.333,1010.07
04-Jan-17,9,1107.32,433.838,1014.37
04-Jan-17,10,1104.821,940.142,839.15
04-Jan-17,11,1078.17,1378.07,872.65
04-Jan-17,12,1050.473,1425.908,748.11
04-Jan-17,13,1013.761,1347.592,648.47
04-Jan-17,14,1013.121,1523.305,707.74
04-Jan-17,15,1007.909,1418.612,783.32
04-Jan-17,16,1060.948,1074.285,826.27
04-Jan-17,17,1062.285,572.802,810.81
04-Jan-17,18,1020.314,134.095,858.91
04-Jan-17,19,961.925,2.015,815.1
04-Jan-17,20,931.662,0.0,908.72
04-Jan-17,21,947.096,0.0,814.24
04-Jan-17,22,937.934,0.0,760.99
04-Jan-17,23,887.727,0.0,907.0
05-Jan-17,0,830.084,0.0,940.5
05-Jan-17,1,801.722,0.0,968.85
05-Jan-17,2,784.052,0.0,993.75
05-Jan-17,3,787.127,0.0,1014.37
05-Jan-17,4,819.13,0.0,1008.36
