date;hour;GC(KW);GG(KW);heat(KW)
1-Sep-10;0;150.322;0.027;281.290
1-Sep-10;1;118.818;0.057;277.425
1-Sep-10;2;114.603;0.031;275.280
1-Sep-10;3;118.565;0.038;294.605
1-Sep-10;4;121.855;0.043;337.550
1-Sep-10;5;148.106;0.007;352.580
1-Sep-10;6;215.383;4.648;363.315
1-Sep-10;7;253.759;42.355;369.330
1-Sep-10;8;200.427;96.023;355.160
1-Sep-10;9;177.286;147.016;293.745
1-Sep-10;10;156.597;181.095;278.715
1-Sep-10;11;158.282;190.827;271.415
1-Sep-10;12;150.302;159.972;261.105
1-Sep-10;13;150.851;178.634;260.250
1-Sep-10;14;154.668;114.683;258.960
1-Sep-10;15;156.799;51.758;258.530
1-Sep-10;16;198.302;17.559;248.225
1-Sep-10;17;295.329;0.490;250.370
1-Sep-10;18;322.959;0.043;258.100
1-Sep-10;19;298.123;0.039;261.965
1-Sep-10;20;271.551;0.060;276.570
1-Sep-10;21;252.500;0.030;283.010
1-Sep-10;22;214.277;0.059;262.825
1-Sep-10;23;155.509;0.056;259.390
2-Sep-10;0;129.832;0.045;261.535
2-Sep-10;1;107.416;0.020;258.960
2-Sep-10;2;105.973;0.032;256.815
2-Sep-10;3;107.361;0.036;271.845
2-Sep-10;4;110.988;0.036;293.745
2-Sep-10;5;132.659;0.018;310.495
2-Sep-10;6;186.105;0.200;333.255
2-Sep-10;7;233.529;10.758;325.525
2-Sep-10;8;201.254;39.040;307.920
2-Sep-10;9;174.223;87.125;261.535
2-Sep-10;10;161.972;116.643;253.375
2-Sep-10;11;162.250;135.090;247.365
2-Sep-10;12;162.233;138.026;236.200
2-Sep-10;13;161.771;101.933;239.205
2-Sep-10;14;156.225;65.787;236.200
2-Sep-10;15;173.838;44.991;225.890
2-Sep-10;16;217.626;12.199;235.340
2-Sep-10;17;306.867;0.252;231.045
2-Sep-10;18;330.914;0.061;248.655
2-Sep-10;19;319.244;0.062;254.665
2-Sep-10;20;313.979;0.051;259.820
2-Sep-10;21;258.090;0.076;264.545
2-Sep-10;22;223.084;0.064;255.955
2-Sep-10;23;181.823;0.025;249.510
3-Sep-10;0;145.765;0.001;194.115
3-Sep-10;1;114.014;0.037;248.655
3-Sep-10;2;108.689;0.025;249.510
3-Sep-10;3;106.083;0.051;210.860
3-Sep-10;4;114.719;0.030;260.250
3-Sep-10;5;141.480;0.054;275.280
3-Sep-10;6;204.510;0.198;295.035
3-Sep-10;7;247.368;8.554;290.740
3-Sep-10;8;230.485;26.013;283.440
3-Sep-10;9;200.696;40.466;257.670
3-Sep-10;10;175.557;56.667;246.075
3-Sep-10;11;182.834;77.978;253.805
3-Sep-10;12;185.793;93.274;245.645
3-Sep-10;13;187.142;88.950;226.750
3-Sep-10;14;174.482;62.267;226.750
3-Sep-10;15;188.160;36.426;257.670
3-Sep-10;16;248.095;11.451;198.405
3-Sep-10;17;366.337;0.075;226.750
3-Sep-10;18;389.654;0.090;233.195
3-Sep-10;19;363.829;0.020;233.620
3-Sep-10;20;316.628;0.049;243.070
3-Sep-10;21;276.008;0.068;267.550
3-Sep-10;22;242.284;0.021;240.495
3-Sep-10;23;202.128;0.073;252.520
4-Sep-10;0;157.314;0.049;245.220
4-Sep-10;1;127.174;0.025;250.370
4-Sep-10;2;115.567;0.043;258.960
4-Sep-10;3;118.556;0.031;255.095
4-Sep-10;4;129.223;0.024;267.550
4-Sep-10;5;136.220;0.042;234.050
4-Sep-10;6;177.372;0.156;287.735
4-Sep-10;7;192.705;3.575;290.310
4-Sep-10;8;221.368;14.218;289.450
4-Sep-10;9;235.146;42.729;257.240
4-Sep-10;10;213.915;57.344;254.665
4-Sep-10;11;219.829;43.943;234.910
4-Sep-10;12;225.516;61.151;235.770
4-Sep-10;13;220.378;75.571;243.500
4-Sep-10;14;218.507;42.253;273.130
4-Sep-10;15;212.572;58.903;261.535
4-Sep-10;16;251.890;21.774;259.820
4-Sep-10;17;343.283;0.507;236.200
4-Sep-10;18;362.170;0.050;231.045
4-Sep-10;19;323.088;0.038;236.200
4-Sep-10;20;288.068;0.042;236.630
4-Sep-10;21;248.255;0.054;245.645
4-Sep-10;22;232.093;0.061;228.900
4-Sep-10;23;182.016;0.045;241.355
5-Sep-10;0;145.180;0.014;241.355
