date,hour,GC,GG,Heat
1-Jul-10,0,179.798,0.068,461.235
1-Jul-10,1,147.039,0.032,460.805
1-Jul-10,2,147.652,0.030,474.545
1-Jul-10,3,147.135,0.049,473.255
1-Jul-10,4,162.870,0.044,449.210
1-Jul-10,5,201.553,0.036,444.915
1-Jul-10,6,326.843,0.046,471.540
1-Jul-10,7,395.922,9.454,465.525
1-Jul-10,8,375.917,62.975,521.355
1-Jul-10,9,290.798,143.288,535.955
1-Jul-10,10,262.436,200.523,526.080
1-Jul-10,11,242.869,254.098,511.480
1-Jul-10,12,222.882,260.758,458.225
1-Jul-10,13,190.740,231.114,476.265
1-Jul-10,14,181.168,149.832,494.730
1-Jul-10,15,210.869,57.192,491.725
1-Jul-10,16,330.100,5.919,492.585
1-Jul-10,17,527.746,0.061,467.245
1-Jul-10,18,550.923,0.032,523.935
1-Jul-10,19,535.114,0.087,497.305
1-Jul-10,20,489.601,0.025,479.270
1-Jul-10,21,415.625,0.020,454.360
1-Jul-10,22,312.402,0.057,484.855
1-Jul-10,23,233.179,0.055,471.540
2-Jul-10,0,172.086,0.012,479.700
2-Jul-10,1,147.282,0.030,405.405
2-Jul-10,2,139.312,0.018,466.385
2-Jul-10,3,135.719,0.054,493.870
2-Jul-10,4,144.478,0.054,515.775
2-Jul-10,5,197.504,0.060,495.590
2-Jul-10,6,276.467,0.061,536.385
2-Jul-10,7,357.356,4.077,558.720
2-Jul-10,8,349.719,37.854,559.150
2-Jul-10,9,301.978,63.270,510.190
2-Jul-10,10,285.804,66.527,434.605
2-Jul-10,11,276.700,68.165,432.890
2-Jul-10,12,283.884,65.413,395.095
2-Jul-10,13,301.021,55.855,389.515
2-Jul-10,14,285.393,36.634,388.655
2-Jul-10,15,308.143,17.705,387.795
2-Jul-10,16,410.327,2.833,399.820
2-Jul-10,17,598.510,0.045,453.075
2-Jul-10,18,575.653,0.037,402.825
2-Jul-10,19,545.342,0.050,408.410
2-Jul-10,20,532.913,0.056,466.815
2-Jul-10,21,443.211,0.050,468.105
2-Jul-10,22,353.108,0.039,415.280
2-Jul-10,23,272.991,0.038,420.435
3-Jul-10,0,203.628,0.042,440.620
3-Jul-10,1,158.403,0.052,447.920
3-Jul-10,2,146.057,0.067,526.510
3-Jul-10,3,144.331,0.030,533.380
3-Jul-10,4,145.425,0.078,511.910
3-Jul-10,5,178.999,0.048,477.980
3-Jul-10,6,211.797,0.037,466.385
3-Jul-10,7,331.864,15.240,498.165
3-Jul-10,8,363.016,77.625,419.145
3-Jul-10,9,320.242,172.472,413.995
3-Jul-10,10,261.093,241.186,467.675
3-Jul-10,11,256.935,272.534,450.925
3-Jul-10,12,250.923,273.090,450.925
3-Jul-10,13,237.088,242.187,438.470
3-Jul-10,14,223.120,173.530,445.345
3-Jul-10,15,246.000,81.991,427.305
3-Jul-10,16,344.488,12.128,440.190
3-Jul-10,17,496.170,0.046,442.765
3-Jul-10,18,499.691,0.039,449.635
3-Jul-10,19,497.588,0.046,471.540
3-Jul-10,20,475.214,0.046,482.275
3-Jul-10,21,413.334,0.058,517.060
3-Jul-10,22,358.336,0.052,473.685
3-Jul-10,23,249.849,0.057,468.965
4-Jul-10,0,188.326,0.025,486.570
4-Jul-10,1,162.920,0.031,430.310
4-Jul-10,2,143.180,0.036,483.995
4-Jul-10,3,137.868,0.036,460.375
4-Jul-10,4,142.375,0.026,472.830
4-Jul-10,5,162.860,0.062,504.180
4-Jul-10,6,224.880,0.060,497.305
4-Jul-10,7,286.661,7.732,447.920
4-Jul-10,8,326.337,62.788,505.035
4-Jul-10,9,326.583,127.262,507.185
4-Jul-10,10,286.356,176.957,419.575
4-Jul-10,11,253.765,202.400,436.325
4-Jul-10,12,251.349,190.160,374.055
4-Jul-10,13,243.797,191.128,324.235
4-Jul-10,14,250.755,133.879,353.870
4-Jul-10,15,279.857,59.593,391.660
4-Jul-10,16,361.758,8.729,413.135
4-Jul-10,17,494.293,0.057,405.405
4-Jul-10,18,504.791,0.050,429.455
4-Jul-10,19,479.164,0.051,407.550
4-Jul-10,20,438.690,0.086,454.360
4-Jul-10,21,386.997,0.049,407.120
4-Jul-10,22,285.510,0.049,380.495
4-Jul-10,23,221.843,0.049,453.500
5-Jul-10,0,165.809,0.024,470.250
5-Jul-10,1,139.741,0.032,484.425
5-Jul-10,2,136.249,0.042,496.875
5-Jul-10,3,132.692,0.032,507.185
5-Jul-10,4,145.311,0.051,504.180
5-Jul-10,5,169.803,0.048,532.090
5-Jul-10,6,226.061,0.051,490.865
5-Jul-10,7,285.053,6.491,495.160
5-Jul-10,8,324.282,38.004,415.280
5-Jul-10,9,273.797,47.728,500.315
5-Jul-10,10,254.979,65.900,459.085
5-Jul-10,11,242.110,99.535,409.700
5-Jul-10,12,260.067,85.414,372.335
5-Jul-10,13,257.980,70.266,370.620
5-Jul-10,14,251.049,49.700,400.250
5-Jul-10,15,274.059,23.302,365.465
5-Jul-10,16,343.538,2.838,371.475
5-Jul-10,17,496.048,0.020,377.060
5-Jul-10,18,505.575,0.049,393.810
5-Jul-10,19,437.290,0.033,404.975
5-Jul-10,20,440.797,0.068,417.860
5-Jul-10,21,361.229,0.048,417.430
5-Jul-10,22,282.395,0.060,396.815
5-Jul-10,23,211.174,0.050,395.095
6-Jul-10,0,152.289,0.043,426.015
6-Jul-10,1,128.196,0.042,449.210
6-Jul-10,2,133.215,0.042,450.495
6-Jul-10,3,129.115,0.062,457.795
6-Jul-10,4,133.133,0.042,480.560
6-Jul-10,5,170.798,0.045,457.795
6-Jul-10,6,241.596,0.043,484.855
6-Jul-10,7,274.658,1.707,481.845
6-Jul-10,8,283.760,27.146,495.160
6-Jul-10,9,248.742,65.725,487.430
6-Jul-10,10,229.222,111.292,475.835
6-Jul-10,11,207.454,133.740,417.430
6-Jul-10,12,203.655,193.334,427.735
6-Jul-10,13,186.400,160.034,417.000
6-Jul-10,14,202.981,89.561,396.385
6-Jul-10,15,232.778,45.963,421.725
6-Jul-10,16,324.242,8.034,388.225
6-Jul-10,17,456.488,0.037,456.940
6-Jul-10,18,476.017,0.044,424.300
6-Jul-10,19,450.916,0.042,454.790
6-Jul-10,20,428.081,0.063,483.565
6-Jul-10,21,382.329,0.050,532.520
6-Jul-10,22,305.913,0.054,492.585
6-Jul-10,23,215.559,0.043,434.605
7-Jul-10,0,162.648,0.043,410.555
7-Jul-10,1,136.515,0.044,507.185
7-Jul-10,2,132.995,0.037,517.490
7-Jul-10,3,136.042,0.072,536.815
7-Jul-10,4,142.986,0.031,559.150
7-Jul-10,5,162.445,0.030,573.320
7-Jul-10,6,202.212,0.039,544.115
7-Jul-10,7,241.569,3.352,553.565
7-Jul-10,8,273.505,23.503,528.655
7-Jul-10,9,266.952,79.919,497.735
7-Jul-10,10,244.773,90.454,450.925
7-Jul-10,11,232.539,94.146,477.550
7-Jul-10,12,227.069,92.337,451.785
7-Jul-10,13,231.858,70.040,473.255
7-Jul-10,14,230.328,75.133,395.095
7-Jul-10,15,269.066,32.259,404.115
7-Jul-10,16,337.333,5.345,397.245
7-Jul-10,17,462.144,0.056,404.545
7-Jul-10,18,485.622,0.034,423.870
7-Jul-10,19,475.179,0.032,441.480
7-Jul-10,20,432.769,0.049,487.430
7-Jul-10,21,380.868,0.046,516.205
7-Jul-10,22,325.860,0.109,499.025
7-Jul-10,23,217.626,0.043,485.710
8-Jul-10,0,168.489,0.039,488.290
8-Jul-10,1,130.998,0.042,498.165
8-Jul-10,2,129.035,0.012,437.185
8-Jul-10,3,133.971,0.039,502.030
8-Jul-10,4,149.919,0.030,500.740
8-Jul-10,5,183.153,0.036,509.330
8-Jul-10,6,229.489,0.066,511.910
8-Jul-10,7,285.369,5.921,490.005
8-Jul-10,8,284.038,51.552,491.295
8-Jul-10,9,274.993,93.902,489.145
8-Jul-10,10,250.881,95.183,474.545
8-Jul-10,11,237.032,121.950,424.730
8-Jul-10,12,231.123,126.511,389.085
8-Jul-10,13,256.076,115.992,353.870
8-Jul-10,14,253.117,65.014,343.135
8-Jul-10,15,285.377,28.384,339.695
8-Jul-10,16,357.489,4.840,289.880
8-Jul-10,17,462.376,0.050,301.905
8-Jul-10,18,505.260,0.060,365.895
8-Jul-10,19,482.327,0.067,370.190
8-Jul-10,20,426.386,0.032,394.665
8-Jul-10,21,373.863,0.040,394.665
8-Jul-10,22,296.855,0.057,431.170
8-Jul-10,23,236.156,0.075,438.040
9-Jul-10,0,174.541,0.025,442.765
9-Jul-10,1,144.269,0.043,445.345
9-Jul-10,2,138.352,0.037,462.090
9-Jul-10,3,140.588,0.057,474.545
9-Jul-10,4,148.769,0.018,487.860
9-Jul-10,5,176.365,0.054,490.435
9-Jul-10,6,226.877,0.037,490.005
9-Jul-10,7,288.306,4.989,452.215
9-Jul-10,8,296.045,30.974,458.225
9-Jul-10,9,278.066,85.260,473.255
9-Jul-10,10,236.770,146.090,425.590
9-Jul-10,11,218.632,158.807,402.400
9-Jul-10,12,218.014,126.890,351.720
9-Jul-10,13,232.888,105.479,329.820
9-Jul-10,14,243.592,87.392,343.990
9-Jul-10,15,273.797,35.270,350.865
9-Jul-10,16,343.017,4.012,364.175
9-Jul-10,17,479.712,0.061,389.945
9-Jul-10,18,482.175,0.045,421.295
9-Jul-10,19,465.402,0.055,383.930
9-Jul-10,20,433.163,0.030,469.390
9-Jul-10,21,379.215,0.050,457.795
9-Jul-10,22,300.941,0.070,429.455
9-Jul-10,23,223.563,0.037,430.310
10-Jul-10,0,170.527,0.018,431.170
10-Jul-10,1,142.533,0.026,421.295
10-Jul-10,2,132.663,0.031,419.145
10-Jul-10,3,136.652,0.054,436.325
10-Jul-10,4,150.643,0.049,456.940
10-Jul-10,5,163.450,0.052,512.765
10-Jul-10,6,192.906,0.041,572.030
10-Jul-10,7,249.399,16.895,586.205
10-Jul-10,8,289.342,87.137,532.950
10-Jul-10,9,272.546,141.120,473.685
10-Jul-10,10,253.648,179.424,407.980
10-Jul-10,11,217.727,202.774,415.710
10-Jul-10,12,223.855,149.021,363.315
10-Jul-10,13,213.919,175.193,334.115
10-Jul-10,14,223.004,69.938,344.420
10-Jul-10,15,252.966,46.614,383.500
10-Jul-10,16,296.643,7.258,363.745
10-Jul-10,17,431.771,0.058,377.920
10-Jul-10,18,429.564,0.050,389.945
10-Jul-10,19,420.863,0.048,405.835
10-Jul-10,20,377.547,0.047,437.615
10-Jul-10,21,335.338,0.037,428.595
10-Jul-10,22,287.222,0.050,419.145
10-Jul-10,23,223.737,0.055,423.010
11-Jul-10,0,174.077,0.031,469.820
11-Jul-10,1,134.391,0.056,405.405
11-Jul-10,2,127.714,0.036,398.960
11-Jul-10,3,130.273,0.037,464.670
11-Jul-10,4,140.862,0.007,467.245
11-Jul-10,5,156.728,0.068,487.430
11-Jul-10,6,184.986,0.038,520.925
11-Jul-10,7,210.521,3.335,533.810
11-Jul-10,8,246.285,34.759,528.655
11-Jul-10,9,281.012,71.786,490.865
11-Jul-10,10,250.403,73.448,407.980
11-Jul-10,11,231.567,92.063,372.765
11-Jul-10,12,240.584,83.490,404.115
11-Jul-10,13,252.195,63.817,385.650
11-Jul-10,14,250.237,51.444,377.490
11-Jul-10,15,246.650,39.615,373.195
11-Jul-10,16,306.535,4.316,357.305
11-Jul-10,17,422.090,0.056,363.315
11-Jul-10,18,435.923,0.031,380.495
11-Jul-10,19,412.996,0.067,407.980
11-Jul-10,20,376.978,0.051,457.795
11-Jul-10,21,315.936,0.021,490.865
11-Jul-10,22,244.160,0.042,455.650
11-Jul-10,23,192.794,0.055,424.730
12-Jul-10,0,148.409,0.055,460.805
12-Jul-10,1,123.042,0.052,399.820
12-Jul-10,2,122.340,0.036,423.440
12-Jul-10,3,127.414,0.030,497.305
12-Jul-10,4,159.851,0.048,472.400
12-Jul-10,5,167.939,0.060,514.915
12-Jul-10,6,229.699,0.062,483.135
12-Jul-10,7,262.134,6.332,504.605
12-Jul-10,8,269.665,31.947,523.075
12-Jul-10,9,242.438,63.899,510.190
12-Jul-10,10,211.328,96.231,414.850
12-Jul-10,11,209.700,82.592,411.845
12-Jul-10,12,212.196,67.259,341.415
12-Jul-10,13,214.050,87.209,364.605
12-Jul-10,14,199.002,60.524,326.385
12-Jul-10,15,221.283,30.236,321.230
12-Jul-10,16,290.447,6.637,343.565
12-Jul-10,17,437.955,0.067,377.490
12-Jul-10,18,440.438,0.056,370.620
12-Jul-10,19,411.033,0.056,372.765
12-Jul-10,20,387.991,0.056,396.815
12-Jul-10,21,341.205,0.033,420.435
12-Jul-10,22,282.720,0.031,431.170
12-Jul-10,23,209.928,0.038,439.330
13-Jul-10,0,154.595,0.037,439.330
13-Jul-10,1,122.703,0.024,429.455
13-Jul-10,2,118.799,0.072,429.455
13-Jul-10,3,125.649,0.061,444.055
13-Jul-10,4,141.992,0.066,454.790
13-Jul-10,5,153.252,0.037,434.605
13-Jul-10,6,216.681,0.032,431.600
13-Jul-10,7,225.622,4.350,434.605
13-Jul-10,8,252.637,35.824,450.925
13-Jul-10,9,226.986,88.296,468.535
13-Jul-10,10,210.610,117.518,472.830
13-Jul-10,11,196.262,81.991,459.945
13-Jul-10,12,210.438,60.549,438.470
13-Jul-10,13,194.223,60.310,345.280
13-Jul-10,14,198.633,58.863,353.440
13-Jul-10,15,223.309,13.321,372.335
13-Jul-10,16,299.939,0.912,385.650
13-Jul-10,17,414.586,0.037,390.800
13-Jul-10,18,411.742,0.033,339.695
13-Jul-10,19,378.282,0.081,391.660
13-Jul-10,20,369.911,0.056,405.405
13-Jul-10,21,312.528,0.063,436.755
13-Jul-10,22,258.959,0.025,382.215
13-Jul-10,23,183.621,0.055,405.835
14-Jul-10,0,144.112,0.043,420.865
14-Jul-10,1,119.369,0.031,402.825
14-Jul-10,2,116.729,0.030,356.015
14-Jul-10,3,113.489,0.037,340.555
