date,PV,RRP($/KWh)
2010-01-01 00:00:00,0.000,0.088
2010-01-01 01:00:00,0.000,0.070
2010-01-01 02:00:00,0.000,0.066
2010-01-01 03:00:00,0.000,0.066
2010-01-01 04:00:00,0.000,0.065
2010-01-01 05:00:00,0.000,0.060
2010-01-01 06:00:00,0.000,0.067
2010-01-01 07:00:00,0.025,0.067
2010-01-01 08:00:00,0.112,0.067
2010-01-01 09:00:00,0.656,0.071
2010-01-01 10:00:00,1.351,0.075
2010-01-01 11:00:00,1.407,0.067
2010-01-01 12:00:00,2.175,0.070
2010-01-01 13:00:00,2.331,0.077
2010-01-01 14:00:00,1.694,0.073
2010-01-01 15:00:00,0.238,0.085
2010-01-01 16:00:00,0.031,0.082
2010-01-01 17:00:00,0.000,0.073
2010-01-01 18:00:00,0.000,0.071
2010-01-01 19:00:00,0.000,0.074
2010-01-01 20:00:00,0.000,0.070
2010-01-01 21:00:00,0.000,0.066
2010-01-01 22:00:00,0.000,0.061
2010-01-01 23:00:00,0.000,0.060
2010-01-02 00:00:00,0.000,0.056
2010-01-02 01:00:00,0.000,0.054
2010-01-02 02:00:00,0.000,0.054
2010-01-02 03:00:00,0.000,0.054
2010-01-02 04:00:00,0.000,0.066
2010-01-02 05:00:00,0.000,0.069
2010-01-02 06:00:00,0.000,0.077
2010-01-02 07:00:00,0.037,0.074
2010-01-02 08:00:00,0.313,0.082
2010-01-02 09:00:00,0.357,0.072
2010-01-02 10:00:00,0.419,0.076
2010-01-02 11:00:00,0.575,0.079
2010-01-02 12:00:00,0.657,0.077
2010-01-02 13:00:00,0.606,0.073
2010-01-02 14:00:00,0.369,0.068
2010-01-02 15:00:00,0.119,0.074
2010-01-02 16:00:00,0.044,0.071
2010-01-02 17:00:00,0.000,0.069
2010-01-02 18:00:00,0.000,0.076
2010-01-02 19:00:00,0.000,0.077
2010-01-02 20:00:00,0.000,0.069
2010-01-02 21:00:00,0.000,0.061
2010-01-02 22:00:00,0.000,0.063
2010-01-02 23:00:00,0.000,0.066
2010-01-03 00:00:00,0.000,0.055
2010-01-03 01:00:00,0.000,0.047
2010-01-03 02:00:00,0.000,0.049
2010-01-03 03:00:00,0.000,0.052
2010-01-03 04:00:00,0.000,0.055
2010-01-03 05:00:00,0.000,0.063
2010-01-03 06:00:00,0.000,0.070
2010-01-03 07:00:00,0.069,0.071
2010-01-03 08:00:00,0.257,0.074
2010-01-03 09:00:00,0.851,0.073
2010-01-03 10:00:00,1.512,0.076
2010-01-03 11:00:00,1.913,0.077
2010-01-03 12:00:00,2.237,0.073
2010-01-03 13:00:00,2.312,0.077
2010-01-03 14:00:00,1.957,0.074
2010-01-03 15:00:00,0.506,0.072
2010-01-03 16:00:00,0.044,0.072
2010-01-03 17:00:00,0.000,0.067
2010-01-03 18:00:00,0.000,0.076
2010-01-03 19:00:00,0.000,0.072
2010-01-03 20:00:00,0.000,0.064
2010-01-03 21:00:00,0.000,0.063
2010-01-03 22:00:00,0.000,0.064
2010-01-03 23:00:00,0.000,0.070
2010-01-04 00:00:00,0.000,0.060
2010-01-04 01:00:00,0.000,0.051
2010-01-04 02:00:00,0.000,0.054
2010-01-04 03:00:00,0.000,0.053
2010-01-04 04:00:00,0.000,0.055
2010-01-04 05:00:00,0.000,0.062
2010-01-04 06:00:00,0.000,0.084
2010-01-04 07:00:00,0.025,0.097
2010-01-04 08:00:00,0.107,0.091
2010-01-04 09:00:00,0.794,0.082
2010-01-04 10:00:00,1.476,0.099
2010-01-04 11:00:00,1.856,0.090
2010-01-04 12:00:00,2.144,0.079
2010-01-04 13:00:00,2.144,0.085
2010-01-04 14:00:00,1.688,0.082
2010-01-04 15:00:00,0.856,0.103
2010-01-04 16:00:00,0.044,0.100
2010-01-04 17:00:00,0.000,0.095
2010-01-04 18:00:00,0.000,0.069
2010-01-04 19:00:00,0.000,0.098
2010-01-04 20:00:00,0.000,0.091
2010-01-04 21:00:00,0.000,0.068
2010-01-04 22:00:00,0.000,0.063
2010-01-04 23:00:00,0.000,0.115
2010-01-05 00:00:00,0.000,0.075
2010-01-05 01:00:00,0.000,0.057
2010-01-05 02:00:00,0.000,0.057
2010-01-05 03:00:00,0.000,0.054
2010-01-05 04:00:00,0.000,0.057
2010-01-05 05:00:00,0.000,0.074
2010-01-05 06:00:00,0.000,0.117
2010-01-05 07:00:00,0.075,0.084
2010-01-05 08:00:00,0.219,0.093
2010-01-05 09:00:00,0.332,0.077
2010-01-05 10:00:00,0.501,0.075
2010-01-05 11:00:00,0.550,0.097
2010-01-05 12:00:00,0.532,0.090
2010-01-05 13:00:00,0.732,0.097
2010-01-05 14:00:00,0.213,0.096
2010-01-05 15:00:00,0.244,0.110
2010-01-05 16:00:00,0.025,0.128
2010-01-05 17:00:00,0.000,0.151
2010-01-05 18:00:00,0.000,0.106
2010-01-05 19:00:00,0.000,0.099
